day	num_rats	Status
2010-01-15	19	Pending
2010-01-21	32	Pending
2010-01-22	20	Pending
2010-01-23	9	Pending
2010-01-24	12	Pending
2010-01-25	22	Pending
2017-06-12	18	Pending
2017-06-12	52	Closed
2010-01-26	40	Pending
2010-01-27	22	Pending
2017-06-13	56	Closed
2017-06-13	24	Pending
2010-01-28	20	Pending
2010-01-20	12	Pending
2017-06-19	50	Closed
2011-11-10	29	Closed
2011-11-10	1	Pending
2011-11-11	26	Closed
2011-11-11	1	Pending
2017-10-15	2	Assigned
2011-11-12	8	Closed
2011-11-12	3	Pending
2011-11-13	11	Closed
2011-11-13	2	Pending
2011-11-14	26	Closed
2011-11-14	5	Pending
2011-11-21	17	Closed
2011-11-21	1	Pending
2011-11-22	20	Closed
2011-11-23	20	Closed
2011-11-22	1	Pending
2011-11-23	4	Pending
2011-11-17	2	Pending
2011-11-16	1	Pending
2011-11-17	25	Closed
2011-11-18	16	Closed
2011-11-18	1	Pending
2011-11-19	7	Closed
2011-11-20	8	Closed
2011-11-20	2	Pending
2011-11-30	16	Closed
2011-11-30	1	Pending
2011-12-01	19	Closed
2017-10-16	15	Pending
2011-11-24	1	Closed
2011-11-24	1	Pending
2011-11-25	11	Closed
2011-11-26	12	Closed
2011-11-26	1	Pending
2011-11-26	1	Assigned
2011-11-27	10	Closed
2011-11-27	2	Pending
2011-11-28	1	Pending
2011-11-28	18	Closed
2011-11-29	26	Closed
2011-11-29	6	Pending
2011-12-04	15	Closed
2011-12-05	28	Closed
2011-12-04	2	Pending
2011-12-05	3	Pending
2011-12-06	17	Closed
2011-12-06	3	Pending
2011-12-07	21	Closed
2011-12-07	3	Pending
2011-12-08	20	Closed
2011-12-08	2	Pending
2011-12-02	25	Closed
2011-12-02	1	Pending
2011-12-03	11	Closed
2013-09-30	6	Pending
2013-10-01	27	Closed
2013-10-02	28	Closed
2013-10-01	2	Pending
2013-10-02	3	Pending
2013-10-03	38	Closed
2013-10-03	8	Pending
2013-10-04	24	Closed
2017-02-21	18	Pending
2017-02-21	6	Assigned
2017-02-21	54	Closed
2013-10-04	4	Pending
2017-02-22	41	Closed
2013-10-06	15	Closed
2013-10-05	19	Closed
2013-09-26	38	Closed
2017-02-23	53	Closed
2013-09-26	5	Pending
2013-09-27	27	Closed
2013-09-27	8	Pending
2013-09-28	16	Closed
2013-09-28	4	Pending
2013-09-28	1	Assigned
2017-02-24	9	Pending
2013-09-29	17	Closed
2013-09-30	32	Closed
2013-09-29	2	Pending
2017-02-25	30	Closed
2013-10-16	31	Closed
2017-02-27	24	Pending
2013-10-16	8	Pending
2013-10-16	1	Assigned
2017-02-27	36	Closed
2013-10-17	29	Closed
2013-10-17	5	Pending
2013-10-05	1	Pending
2013-10-07	31	Closed
2013-10-06	3	Pending
2013-10-07	5	Pending
2013-10-08	32	Closed
2017-02-28	48	Closed
2013-10-09	22	Closed
2013-10-08	10	Pending
2013-10-08	1	Assigned
2017-03-01	53	Closed
2017-03-01	15	Pending
